CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.6528469702935963,1.3785325412182023,0.42180849100002027,0.46262235823425557,-0.35201038485169245,1.1742960143576653,0.11674614014464438,0.7804081946335947,0.7155216190590143,-0.5442704702693322,-0.019688057706703545,-0.6763188230516032
0.03234730816703719,1.031717387541656,0.003306427083786083,0.09609489786160105,-0.909738706251049,1.742561609701601,-0.4598961414963754,0.36229409203443375,-0.09507337476804159,-0.5790757160180386,-0.09038107960805145,-0.7581733022084662
0.2391805288758904,1.5927419008419514,-0.06365390314281144,0.03165050922465081,-0.6618594522957795,1.578824065280467,0.14420529641326438,0.34971923180588754,0.18425327851020068,-0.7415001961786695,0.28075728537402617,-0.695578700500277
0.2391805288758904,1.4601361067891543,-0.030173738029512828,0.06790047783293532,-0.29889340186127755,1.347665179038866,0.3638785465622243,0.4408869684628475,0.5375193400091541,-0.8459159334247892,0.6342223948807669,-0.6030806048586207
-0.38131913325066874,0.9297129305779659,-0.4821559670590456,-0.3832102426257164,-0.6618594522957795,1.8918517237326349,0.19912360895050435,0.14537775309201192,0.2828391561378156,-0.8227124362589849,0.6106580542469843,-0.597758796616224
-0.7949855746683749,0.5471962169641281,-0.7834774530787342,-0.7295988315493239,-1.0336783332286839,2.5275386608970374,-0.3500595164218954,-0.15956260745023323,-0.15805879658568445,-0.8227124362589849,0.5870937136132016,-0.6078955742207889
-0.7949855746683749,0.48599354278591406,-0.9676183612018773,-0.9712652889378873,-1.272704756685551,0.11237908221100576,-0.8717834855256753,-0.34818551087842614,-0.7495740623513739,-0.8111106876760826,0.445707669810505,-0.6699833370487501
-1.001818795377228,0.23608262322487336,-1.0178386088718254,-1.0437652261544563,-1.272704756685551,0.11237908221100576,-0.8992426417942952,-0.34818551087842614,-0.7577895521536752,-0.8807211791734959,0.6342223948807669,-0.6448948124774515
-1.1052354057316542,0.021873263601124182,-1.185239434438319,-1.2975150064124479,-1.4232028751583932,0.11237908221100576,-1.3385891420922151,-0.5273772691352093,-1.059024178238054,-0.8807211791734959,0.61654913940543,-0.6585794622436143
-1.415485236794934,-0.4065454556463742,-1.285679929778215,-1.4908481723232987,0.36415469714015436,0.11237908221100576,0.11925181039909764,-0.6562695864778079,-1.3849052737293368,-0.9271281735051046,0.6460045651976585,-0.691777408898565
0.19031570881527637,-0.40144523279818967,-1.3526402600048126,-1.627792498176818,-1.6356708071200527,0.11237908221100576,-2.052527205076335,-0.7757307586489967,-1.5382610833722932,-0.9503316706709091,0.6636778206729953,-0.7049552197844995
-1.3120686264405075,-0.12093297614804194,-1.3861204251181114,-1.6882091125239589,-1.6799349596120652,0.11237908221100576,-2.2172821426880547,-0.8228864845060448,-1.601246505189936,-0.8459159334247892,0.41036115885983127,-0.7300437443557981
